sequential test: size of graph: 2350; time: 2; ms
sequential test: size of graph: 2360; time: 2; ms
sequential test: size of graph: 2370; time: 2; ms
sequential test: size of graph: 2380; time: 1; ms
sequential test: size of graph: 2390; time: 1; ms
sequential test: size of graph: 2400; time: 2; ms
sequential test: size of graph: 2410; time: 2; ms
sequential test: size of graph: 2420; time: 2; ms
sequential test: size of graph: 2430; time: 2; ms
sequential test: size of graph: 2440; time: 2; ms
sequential test: size of graph: 2450; time: 2; ms
sequential test: size of graph: 2460; time: 2; ms
sequential test: size of graph: 2470; time: 1; ms
sequential test: size of graph: 2480; time: 2; ms
sequential test: size of graph: 2490; time: 2; ms
sequential test: size of graph: 2500; time: 2; ms
sequential test: size of graph: 2510; time: 2; ms
sequential test: size of graph: 2520; time: 2; ms
sequential test: size of graph: 2530; time: 2; ms
sequential test: size of graph: 2540; time: 2; ms
sequential test: size of graph: 2550; time: 2; ms
sequential test: size of graph: 2560; time: 3; ms
sequential test: size of graph: 2570; time: 2; ms
sequential test: size of graph: 2580; time: 2; ms
sequential test: size of graph: 2590; time: 2; ms
sequential test: size of graph: 2600; time: 2; ms
sequential test: size of graph: 2610; time: 2; ms
sequential test: size of graph: 2620; time: 2; ms
sequential test: size of graph: 2630; time: 3; ms
sequential test: size of graph: 2640; time: 2; ms
sequential test: size of graph: 2650; time: 2; ms
sequential test: size of graph: 2660; time: 2; ms
sequential test: size of graph: 2670; time: 2; ms
sequential test: size of graph: 2680; time: 3; ms
sequential test: size of graph: 2690; time: 2; ms
sequential test: size of graph: 2700; time: 2; ms
sequential test: size of graph: 2710; time: 2; ms
sequential test: size of graph: 2720; time: 3; ms
sequential test: size of graph: 2730; time: 2; ms
sequential test: size of graph: 2740; time: 2; ms
sequential test: size of graph: 2750; time: 3; ms
sequential test: size of graph: 2760; time: 2; ms
sequential test: size of graph: 2770; time: 2; ms
sequential test: size of graph: 2780; time: 3; ms
sequential test: size of graph: 2790; time: 2; ms
sequential test: size of graph: 2800; time: 3; ms
sequential test: size of graph: 2810; time: 2; ms
sequential test: size of graph: 2820; time: 3; ms
sequential test: size of graph: 2830; time: 2; ms
sequential test: size of graph: 2840; time: 3; ms
sequential test: size of graph: 2850; time: 3; ms
sequential test: size of graph: 2860; time: 2; ms
sequential test: size of graph: 2870; time: 3; ms
sequential test: size of graph: 2880; time: 2; ms
sequential test: size of graph: 2890; time: 3; ms
sequential test: size of graph: 2900; time: 3; ms
sequential test: size of graph: 2910; time: 2; ms
sequential test: size of graph: 2920; time: 3; ms
sequential test: size of graph: 2930; time: 3; ms
sequential test: size of graph: 2940; time: 2; ms
sequential test: size of graph: 2950; time: 3; ms
sequential test: size of graph: 2960; time: 3; ms
sequential test: size of graph: 2970; time: 2; ms
sequential test: size of graph: 2980; time: 3; ms
sequential test: size of graph: 2990; time: 3; ms
sequential test: size of graph: 3000; time: 3; ms
sequential test: size of graph: 3010; time: 3; ms
sequential test: size of graph: 3020; time: 2; ms
sequential test: size of graph: 3030; time: 3; ms
sequential test: size of graph: 3040; time: 3; ms
sequential test: size of graph: 3050; time: 3; ms
sequential test: size of graph: 3060; time: 3; ms
sequential test: size of graph: 3070; time: 3; ms
sequential test: size of graph: 3080; time: 3; ms
sequential test: size of graph: 3090; time: 3; ms
sequential test: size of graph: 3100; time: 3; ms
sequential test: size of graph: 3110; time: 3; ms
sequential test: size of graph: 3120; time: 3; ms
sequential test: size of graph: 3130; time: 3; ms
sequential test: size of graph: 3140; time: 3; ms
sequential test: size of graph: 3150; time: 3; ms
sequential test: size of graph: 3160; time: 3; ms
sequential test: size of graph: 3170; time: 3; ms
sequential test: size of graph: 3180; time: 3; ms
sequential test: size of graph: 3190; time: 3; ms
sequential test: size of graph: 3200; time: 4; ms
sequential test: size of graph: 3210; time: 3; ms
sequential test: size of graph: 3220; time: 3; ms
sequential test: size of graph: 3230; time: 3; ms
